customer_id,customer_name,contact_name,phone,fax,bill_to,balance_total,market,merchant_group,xero_account_number
36,Export:Zespri South Korea,Ryan Donovan,,,"JUNG-HWAN JANG- GA P/house Manager Hwang Gueom Dale Association 120, Nansanbong-ro, Sungsan-eup Seogwipo-si, Jeju-do SOUTH KOREA 63635",3220.75,Export,,
37,Local - 1,,,,,504163.95,Local,,
38,Local - 1:Primehort,Ernie Wearmouth,0800127746,,Primehort P O Box 28 Maungaturoto 0547,0,Local,,
39,Local - 1:Cavity Batten Systems Ltd,Graeme Webster,0275755567,,Cavity Batten Systems Ltd 7/23 Tukorako Drive Mt Maunganui 3116,0,Export,,
40,Local - 1:Summit Motors,,,,,0,Local,,
41,Local - 1:Kiwi Cable and Wire Limited,Erica,,,Kiwi Cable and Wire Ltd 185 Matahui Road RD 4 Katikati 3181,0,Local,,
42,Local - 1:Crown Equipment Ltd,,,,Crown Equipment Ltd 28D Jean Batten Drive Mount Launganui 3116,0,Local,,
43,Local - 1:Beach Break,,,,Beach Break,0,Local,,
44,Local - 1:ADL Irrigation and Pump Supplies,Stephanie Mulligan,07 574 4027,,ADL Irrigation and Pump Supplies 5 Triton Ave Mt Maunganui 3116,0,Local,,
45,Local - 1:Altbuild Limited,,,,Altbuild Limited,0,Local,,
46,Local - 1:Backyard Games NZ Ltd,Cameron Brown,0273073336,,Backyard Games NZ Ltd 33/23 Tukorako Drive Mt Maunganui 3116,0,Export,,
47,Local - 1:Ceiling Fan Company,Sam Simpson,07 575 2200,,Ceiling Fan Company (2015) NZ Ltd 195 Grange Rd Otumoetai Tauranga 3110,0,Local,,
48,Local - 1:Clicksafe NZ,Hollie Waugh,021 250 4215,,Clicksafe NZ 45 Sandhurst Drive Papamoa,0,Local,,
49,Local - 1:Ellison Scott,,027 4234873,,Scott Ellison,0,Local,,
50,Local - 1:Ellison R.J & K.J-Makaira Orchard,Robbie Ellison,07 575 5449,,R.J.& K.J.Ellison 18A Rita St Mount Maunganui,0,Local,,
51,"Local - 1:Ellison, Trent  - (Delphinus Orchard)",,07 5734839,,Delphineus Ltd 347 Brown Rd R.D.8 Te Puke,0,Export,,
52,Local - 1:Erickson -John,06 879 9600,0275 672 427,,John Erickson P.O.Box 7508 Taradale 4141,0,Local,,
53,Local - 1:Ericksen Mark - Waima Trading,,,,Mark Ericksen Waima Fruit Company 1495 Korokipo Rd RD 3 NAPIER,0,Local,,
54,Local - 1:Franklin Orcharding Ltd,,,,Franklin Orcharding Ltd 180 Ocean Road OHOPE 3121,0,Local,,
55,Local - 1:KAHU ORCHARD,Williw Waters,,,KAHU ORCHARD P O Box 4035 Mt Maunganui 3149,0,Local,,
56,Local - 1:Kiwi Export Ltd T/A Origami Paddlers,Derek Holmes,027 434 9934,,Kiwi Export Ltd T/A Origami Paddlers 22/23 Tukorako Drive Mt Maunganui 3116,0,Export,,
57,Local - 1:Mace Landscapes,Warick,021325459,,Mace Landscapes 121 Phillip Road Takanini AUCKLAND 2105,0,Local,,
58,Local - 1:My Hoody,Shereen Bell,,,Mt Surfwear T/A My Hoody 50 Tweed Street MT MAUNGANUI 3116,0,Local,,
59,Local - 1:Natural Fit,Olly Coffey,021502841,,Natural Fit,0,Local,,
60,Local - 1:Oceanbridge,Janelle Storer,07 927 8267,,Oceanbridge Shipping Limited 25 Anzac Street Takapuna Auckland,0,Local,,
61,Local - 1:RMT Developments Ltd,Ross Thomas,021725562,,RMT Developments Ltd 14 Tyne Street Mt Maunganui 3116,0,Local,,
62,Local - 1:Slurry Services Ltd,Doug Kirby,0274 927 626,,Slurry Services Ltd 374 Otumoetai Road Otumoetai,39.84,Local,,
63,Local - 1:Te Kowhai Hort Ltd,,,,Te Kowhai Hort Ltd 14 Jess Road RD 2 Omokoroa 3172,0,Local,,
64,Local - 1:The Donut Factory,Jon Tate,07 574 0115,,The Donut Factory 2/58 Newton Street Mt Maunganui 3116,0,Local,,
65,Local - 1:Waihi Components,,,,Waihi Components 9 Dean Crescent Waihi,0,Local,,
66,Local - 1:Windshadow Limited,Erica Meyer,,,Windshadow Limited 185 Matahui Road RD 4 KATIKATI 3181,9240.25,Local,,
67,Local - 1:Worx Industries,Bevan,,,Worx Industries Unit15/16 Paerangi Place Turiko Tauranga,0,Local,,
68,Local - 1:Farmlands,Diane Foster,0800200600,,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,188192.06,Local,Farmlands,
69,Local - 1:Farmlands:Fairlie,Diane Foster,0800200600,,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL44
70,Local - 1:Farmlands:Hawkes Bay Hub,Diane Foster,0800200600,,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL01
71,Local - 1:Farmlands:Inglewood,Diane Foster,0800200600,,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL02
72,Local - 1:Farmlands:Alexandra,Jai Beck/Kathy Wallace,03 4402030,,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL03
73,Local - 1:Farmlands:Amberley,Gordon Rodgers,03 3148340,,Farmlands Private Bag  1968 DUNEDIN 9054,15947.91,Local,Farmlands,FL04
74,Local - 1:Farmlands:Ashburton,Peter Clarke,03 3079140,03 3079149,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL05
75,Local - 1:Farmlands:Blenheim,James Cochrane/Johnny McMillan,03 579 3150,03 579 3159,Farmlands Co-operative Private Bag 1968 Dunedin 9054,798.62,Local,Farmlands,FL06
76,Local - 1:Farmlands:Christchurch,,035793150,,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL07
77,Local - 1:Farmlands:Cromwell,Pip McKinnel/Caroline Hayes,03 4450174,03 445 0176,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,4231.74,Local,Farmlands,FL08
78,Local - 1:Farmlands:Culverden,,,,Farmlands Co-Operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL09
79,Local - 1:Farmlands:Gisborne,Jenny Skanks,06 8688804,,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL10
80,Local - 1:Farmlands:Greymouth,,,,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL11
81,Local - 1:Farmlands:Greytown,Joanne Simpson,06 3048045,,"Farmlands Co-operative, Private Bag 1968 DUNEDIN 9054",0,Local,Farmlands,FL12
82,Local - 1:Farmlands:Hastings,,06 8768029,,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,363.67,Local,Farmlands,FL13
83,Local - 1:Farmlands:Hautapu,,07 827 4206,07 823 4268,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL14
84,Local - 1:Farmlands:Helensville,Ross Good,09 420 8307,09 4208065,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL15
85,Local - 1:Farmlands:Kaikoura,Dallas Curtis,03 3195448,,Farmlands Co-Operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL16
86,Local - 1:Farmlands:Kaitaia,,09 408 4031,09 108 4895,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL17
87,Local - 1:Farmlands:Kamo,Garry Parsons,09 435 5037,09 435 5027,Farmlands co-operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL18
88,Local - 1:Farmlands:Kurow,,03 4360917,,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL19
89,Local - 1:Farmlands:Levin,,,,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL20
90,Local - 1:Farmlands:Marton,Stephen,03 3277149,,Farmlands Co-Operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL21
91,Local - 1:Farmlands:Morrinsville,Diane Foster,0800200600,,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL22
92,Local - 1:Farmlands:Motueka,Carol Noakes,03 5281100,,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,381.95,Local,Farmlands,FL23
93,Local - 1:Farmlands:New Plymouth Bell Block,Diane Foster,0800200600,,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL24
94,Local - 1:Farmlands:Napier,,,,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL25
95,Local - 1:Farmlands:Opotiki,Rob Briscoe,07 315 3008,,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,40371.9,Local,Farmlands,FL26
96,Local - 1:Farmlands:Otaki,Robert /Brett Adams,06 3649079,06 3649089,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL27
97,Local - 1:Farmlands:Palmerston North,,,,Farmlands Co-Operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL28
98,Local - 1:Farmlands:Pukekohe,A M Verissimo,09 23603035,,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL29
99,Local - 1:Farmlands:Rangiora,Bridget Smith,03 313 2299,,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL30
100,Local - 1:Farmlands:Richmond,Evan Primmer,03 5439452,,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL31
101,Local - 1:Farmlands:Rotorua,,,,Farmlands Private Bag 1968 Dunedin 9054,0,Local,Farmlands,FL32
102,Local - 1:Farmlands:Tauranga,Graham,07 5784049,,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,11263.97,Local,Farmlands,FL33
103,Local - 1:Farmlands:Te Awamutu,,07 8720230,,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL34
104,Local - 1:Farmlands:Te Puke,Chris Cleaver/Dean/Lynn Lewer,07 5737216,,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,67828.51,Local,Farmlands,FL35
105,Local - 1:Farmlands:Te Puna,Steve/Geoff,07 552 5072,,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,33660.92,Local,Farmlands,FL36
106,Local - 1:Farmlands:Waipapa,Robert Webb,09 4076953,,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL37
107,Local - 1:Farmlands:Wairoa,Laryssa Spence,06 8387209,,Farmlands Co-operative P rivate Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL38
108,Local - 1:Farmlands:Wanganui,Kellie Reed/Brian,06 3491240,06 3491249,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,3378.68,Local,Farmlands,FL39
109,Local - 1:Farmlands:Wellsford,Alastair McConnachie,09 423 7957,,Farmlands Co-operative Private Bag 1968 Dunedin 9054,0,Local,Farmlands,FL40
110,Local - 1:Farmlands:Whakatane,Amy/Kristy,07 3060187,,Farmland Co-operative Private Bag 1968 DUNEDIN 9054,9154.63,Local,Farmlands,FL41
111,Local - 1:Farmlands:Whakatu,Aidan Fredrickson,06 8768029,,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,0,Local,Farmlands,FL42
112,Local - 1:Farmlands:Whangarei,Tim Harris,09 438 8824,09 4388154,Farmlands Co-operative Private Bag 1968 DUNEDIN 9054,809.56,Local,Farmlands,FL43
113,Local - 1:Grow It Ltd,Campbell Tacon,,,Grow It Ltd - Campbell Tacon 121 Silverton Road NAPIER 4182,0,Local,,
114,Local - 1:Horticentre / TasmanCrop,,,,Horticentre / TasmanCrop P O Box 547 Drury 2247 Auckland,83202.8,Local,Horticentre,
115,Local - 1:Horticentre / TasmanCrop:Cromwell,Catrina MacLachlan,03 4283254,,Horticentre Limited PO Box 547 Drury 2247 Auckland,0,Local,Horticentre,HC01
116,Local - 1:Horticentre / TasmanCrop:Drury,David Richardson,09 294 8453,,Horticentre Limited P O Box 547 Drury 2247 Auckland,0,Local,Horticentre,HC02
117,Local - 1:Horticentre / TasmanCrop:Gisborne,,,,Horticentre Limited PO Box 547 Drury 2247 AUCKLAND,10685.15,Local,Horticentre,HC03
118,Local - 1:Horticentre / TasmanCrop:Massey,Zuli Allu,09 832 1400,09 832 1699,Horticentre Limited P O Box 547 Drury 2247 Auckland,0,Local,Horticentre,HC04
119,Local - 1:Horticentre / TasmanCrop:Motueka,Tim Varley/Sheldon Brown,03 528 6215,03 5280215,Horticentre Ltd P.O.Box 547 Drury Auckland,8735.4,Local,Horticentre,HC05
120,Local - 1:Horticentre / TasmanCrop:Pukekohe,Peter Ellmers,09 238 4120,09 2383789,Horticentre Limited P O Box 547 Drury 2247 Auckland,20754.17,Local,Horticentre,HC06
121,Local - 1:Horticentre / TasmanCrop:Renwick,Craig Barber,03 572 5164,035725165,Horticentre Ltd P.O.Box 547 Drury 2247 Auckland,1690.17,Local,Horticentre,HC07
122,Local - 1:Horticentre / TasmanCrop:Richmond,John Hamilton,03 544 6668,03 5441506,Horticentre Ltd P.O.Box 547 Drury 2247 Auckland,0,Local,Horticentre,HC08
123,Local - 1:Horticentre / TasmanCrop:Tauranga,Daniel Green/Natalie Spurr,07 541 0808,,Horticentre Limited P O Box 547 Drury 2247 Auckland,41337.91,Local,Horticentre,HC09
124,Local - 1:Horticentre / TasmanCrop:Whakatu,Garry Burlace/Brian Slader,,,Horticentre Ltd PO Box 547 Drury Auckland 2247,0,Local,Horticentre,HC10
125,Local - 1:Horticentre / TasmanCrop:Whangarei,Eileen Hales,09 4381045,,Horticentre/Tasman Crop P O Box 547 Drury 2247 Auckland,0,Local,Horticentre,HC11
126,Local - 1:Icon Trees,Mike Cato,09 274 4934,09 2740177,Icon Trees P.O.Box 153 Whitford Manukau 21,329.34,Export,,
127,Local - 1:Johnny Appleseed Holdings,Tony Wrightson,021572814,,Johnny Appleseed Holdings 548 St Georges Road RD 2 HASTINGS,0,Local,,
128,Local - 1:Johnston -  Bruce (Biofields),Bruce Johnston,,,Bruce Johnston Biofields 362 Esdailes Rd Pahoia Tauranga,0,Local,,
129,Local - 1:Kiwi Colour,Warwick Wilson,027 2757846,,Kiwi Colour Limited 352 Kingseat Rd RD4 Pukekohe,0,Export,,
130,Local - 1:Miscellaneous,,,,,0,Local,,
131,Local - 1:PGG Wrightson Ltd,Linda Weir,0800 704707,03 4790114,PGG Wrightson Ltd P O Box 1961 DUNEDIN,223159.66,Local,PGG Wrightson Ltd,
132,Local - 1:PGG Wrightson Ltd:Culverden,Linda Weir,0800 704707,03 4790114,PGG Wrightson Ltd P O Box 1961 DUNEDIN,0,Local,PGG Wrightson Ltd,FF01
133,Local - 1:PGG Wrightson Ltd:Alexandra,JRH,03 4402350,,PGG Wrightson Ltd P O Box 1961 DUNEDIN,0,Local,PGG Wrightson Ltd,FF02
134,Local - 1:PGG Wrightson Ltd:Amberley,Sarah,03 3148516,,PGG Wrightson Ltd P O Box 1961 DUNEDIN,333.98,Local,PGG Wrightson Ltd,FF03
135,Local - 1:PGG Wrightson Ltd:Blenheim,,,,PGG Wrightson Limited P O Box 1961 DUNEDIN,0,Local,PGG Wrightson Ltd,FF04
136,Local - 1:PGG Wrightson Ltd:Cambridge,,,,PGG WRIGHTSON PO BOX 1961 DUNEDIN,0,Local,PGG Wrightson Ltd,FF05
137,Local - 1:PGG Wrightson Ltd:Cheviot,,03 3198772,,PGG Wrightson Ltd P O Box 1961 DUNEDIN,0,Local,PGG Wrightson Ltd,FF06
138,Local - 1:PGG Wrightson Ltd:Christchurch,Liz,03 372 0890,,PGG Wrightson Ltd P O Box 1961 DUNEDIN,0,Local,PGG Wrightson Ltd,FF07
139,Local - 1:PGG Wrightson Ltd:Cromwell,,03 445 3730,03 4451149,PGG Wrightson Ltd P O Box 1961 DUNEDIN,4134.68,Local,PGG Wrightson Ltd,FF08
140,Local - 1:PGG Wrightson Ltd:Dargaville,,09 439 3340,,PGG Wrightson Ltd P O Box 1961 DUNEDIN,0,Local,PGG Wrightson Ltd,FF09
141,Local - 1:PGG Wrightson Ltd:Feilding,Sarah,06 323 0050,06 323 0621,PGG Wrightson P O Box 1961 DUNEDIN,0,Local,PGG Wrightson Ltd,FF10
142,Local - 1:PGG Wrightson Ltd:Geraldine,Sarah Cleveland,,,PGG Wrightson Ltd PO Box 1961 DUNEDIN,0,Local,PGG Wrightson Ltd,FF11
143,Local - 1:PGG Wrightson Ltd:Gisborne,,,,PGG Wrighston Ltd P O Box 1961 DUNEDIN,308.55,Local,PGG Wrightson Ltd,FF12
144,Local - 1:PGG Wrightson Ltd:Hastings,,06 873 0950,06 876 3305,PGG Wrightson P O Box 1961 DUNEDIN,26094.37,Local,PGG Wrightson Ltd,FF13
145,Local - 1:PGG Wrightson Ltd:Helensville,,,,PGG Wrightson P O Box 1961 DUNEDIN,0,Local,PGG Wrightson Ltd,FF14
146,Local - 1:PGG Wrightson Ltd:Invercargill,Paul Winder,03 2113160,,PGG Wrightson Ltd PO Box 1961 DUNEDIN,0,Local,PGG Wrightson Ltd,FF15
147,Local - 1:PGG Wrightson Ltd:Katikati,George,07 5491316,,PGG Wrightson Ltd P O Box 1961 DUNEDIN,122011.8,Local,PGG Wrightson Ltd,FF16
148,Local - 1:PGG Wrightson Ltd:Levin,,06 368 0892,06 368 8628,PGG Wrightson Ltd P O BOX  1961 DUNEDIN,0,Local,PGG Wrightson Ltd,FF17
149,Local - 1:PGG Wrightson Ltd:Martinborough,,,,PGG Wrightson Ltd P O Box 1961 DUNEDIN,0,Local,PGG Wrightson Ltd,FF18
150,Local - 1:PGG Wrightson Ltd:Masterton,,06 370 1855,06 377 2053,PGG Wrightson Private Bag 1961 DUNEDIN,0,Local,PGG Wrightson Ltd,FF19
151,Local - 1:PGG Wrightson Ltd:Motueka,,,,PGG Wrightson P O Box 1961 DUNEDIN,6331.56,Local,PGG Wrightson Ltd,FF20
152,Local - 1:PGG Wrightson Ltd:Porirua,Dwayne,,,PGG Wrightson Ltd P O Box 1961 DUNEDIN,0,Local,PGG Wrightson Ltd,FF21
153,Local - 1:PGG Wrightson Ltd:Pukekohe,,09 2380713,,PGG Wrightson Ltd P O Box 1961 DUNEDIN,0,Local,PGG Wrightson Ltd,FF22
154,Local - 1:PGG Wrightson Ltd:Richmond,,03 5438590,,PGG Wrightson P O Box 1961 DUNEDIN,720.87,Local,PGG Wrightson Ltd,FF23
155,Local - 1:PGG Wrightson Ltd:Roxburgh,,,,PGG Wrightson P O Box 1961 DUNEDIN,0,Local,PGG Wrightson Ltd,FF24
156,Local - 1:PGG Wrightson Ltd:Te Puke,,,,PGG Wrightson Ltd P O Box 1961 DUNEDIN,56469.26,Local,PGG Wrightson Ltd,FF25
157,Local - 1:PGG Wrightson Ltd:Temuka,Linda Weir,0800 704707,03 4790114,PGG Wrightson Ltd P O Box 1961 DUNEDIN,0,Local,PGG Wrightson Ltd,FF26
158,Local - 1:PGG Wrightson Ltd:Timaru,,0800 367744/03 687338,03 4790114,PGG Wrightson Ltd P O Box 1961 DUNEDIN,0,Local,PGG Wrightson Ltd,FF27
159,Local - 1:PGG Wrightson Ltd:Waihi,,,,PGG Wrightson Ltd PO Box 1961 DUNEDIN,0,Local,PGG Wrightson Ltd,FF28
160,Local - 1:PGG Wrightson Ltd:Waipapa,,09 4079621,09 4079691,PGG Wrightson Ltd P O Box 1961 DUNEDIN,6754.59,Local,PGG Wrightson Ltd,FF29
161,Local - 1:PGG Wrightson Ltd:Wanganui,,,,PGG Wrightson Ltd PO Box 1961 DUNEDIN,0,Local,PGG Wrightson Ltd,FF30
162,Local - 1:PGG Wrightson Ltd:Wellsford,Alastair,,,PGG Wrightson Ltd PO Box 1961 DUNEDIN,0,Local,PGG Wrightson Ltd,FF31
163,Local - 1:PGG Wrightson Ltd:Whakatane,Amy Searle,07 3060187,,PGG Wrightson Ltd P O Box 1961 DUNEDIN,0,Local,PGG Wrightson Ltd,FF32
164,Local - 1:PGG Wrightson Ltd:Whangarei,Jodie Martin,09 4702522,,PGG Wrightson Ltd PO Box 1961 DUNEDIN,0,Local,PGG Wrightson Ltd,FF33
165,Local - 1:PGG Wrightson Ltd:Wyndham,Russell,,,PGG Wrightson PO Box 1961 DUNEDIN,0,Local,PGG Wrightson Ltd,FF34
166,Local - 1:Helga May Wholesale,,,,,0,Local,,
167,Local - 1:Rainbow Park Nurseries,Al Williams,09 2943109,,Rainbow Park Nurseries 46 Cooper Road Ramarama Drury Auckland 2479,0,Local,,
168,Local - 1:Templeman - P,,,,Phil Templeman 50 Foleys Road Teddington RD 1 LYTTLETON  8971,0,Local,,
169,Local - 1:The Little Roll Co Ltd,Terry Johnstone,09 6223584,,The Little Roll Co Ltd Attn: Terry Johnstone 97 Campbell Road One Tree Hill AUCKLAND 1061,0,Local,,
170,Local - 1:Topp - Martin,,07 5491432,07 5491439,Martin Topp 37 Tuapiro Road R D 3 Katikati 3170,0,Local,,
171,Local - 1:Waters - Jim,Jim Waters,,,Jim Waters P.O.Box 4035 Mt Maunganui Sth,0,Local,,
172,Local - 1:WestAg Trading Limited,,09 4118767,094118767,WestAg Trading Limited P O Box 149 Waimauku West Auckland,0,Export,,
173,Yokes,,,,,0,Local,,
174,Yokes:Water & Atmosphere Ltd,,,,,0,Local,,
175,Yokes:Zespri International Ltd,,,,Zespri International Ltd P O Box 4043 Mount Maunganui Attn: C Richardson,0,Local,,
176,Farmlands - Alexandra,Alexandra  Farm Centre,,,"1 Ngapara Street, 1 Ngapara Street, ALEXANDRA, Otago, 9320",0,Local,Farmlands,FL03
177,Farmlands - Amberley,Amberley Farm Centre,,,"(Farmlands), (Farmlands), 22 Courage Road, AMBERLEY, Canterbury, 7410",0,Local,Farmlands,FL04
178,Farmlands - Ashburton,Farmlands,,,"418 West Street, 418 West Street, South Canterbury, Ashburton, 7700",0,Local,Farmlands,FL05
179,Farmlands - Blenheim,Farmlands,,,"15 Westwood Avenue, 15 Westwood Avenue, Springlands, Blenheim, 7201",0,Local,Farmlands,FL06
180,Farmlands - Christchurch,Farmlands,,,"156 Waterloo Road, 156 Waterloo Road, Hornby, Christchurch, 8042",0,Local,Farmlands,FL07
